Identifier Name and Type,Identifier Name,FINAL GRAMMAR PATTERN,POSSE,SWUM,STANFORD,system,language
ABCOpt,ABC Opt,NM N,N V,NM N,N N,{'swift.srcml.xml_identifiers'},C++
AbstractBuildExecution,Abstract Build Execution,NM NM N,NM N N,NM NM N,NM NM N,{'jenkins.srcml.xml_identifiers'},Java
AccessorConformanceInfo,Accessor Conformance Info,NM NM N,N N N,NM NM N,N N N,{'swift.srcml.xml_identifiers'},C++
ActionTranslator,Action Translator,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
AddressLowering,Address Lowering,N V,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C++
AltAndContextConfigEqualityComparator,Alt And Context Config Equality Comparator,N CJ NM NM NM N,N N N N N N,NM NM NM NM NM N,N CJ N N N N,{'antlr4.srcml.xml_identifiers'},Java
AndroidByteBuddyMockMaker,Android Byte Buddy Mock Maker,NM NM NM NM N,N N N NM N,NM NM NM NM N,N N N N N,{'mockito.srcml.xml_identifiers'},Java
ApplyRewriter,Apply Rewriter,NM N,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C++
ArabicSegmenter,Arabic Segmenter,NM N,NM N,NM N,NM N,{'corenlp.srcml.xml_identifiers'},Java
AreaInfoDialog_t,Area Info Dialog t,NM NM NM N,N N N N,NM NM NM N,N N N N,{'gimp.srcml.xml_identifiers.idents'},C
AresDnsResolver,Ares Dns Resolver,NM NM N,N N N,NM NM N,N N N,{'grpc.srcml.xml_identifiers'},C++
ArrayCountPropagation,Array Count Propagation,NM NM N,N N N,NM NM N,N N N,{'swift.srcml.xml_identifiers'},C++
Attribute,Attribute,N,N,N,N,{'openFrameworks.srcml.xml_identifiers'},C++
BackgroundParserPrivate,Background Parser Private,NM N NM,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
BaseLoaderCallback,Base Loader Callback,NM NM N,NM N N,NM NM N,N N N,{'opencv.srcml.xml_identifiers'},Java
BasicReplicationRequest,Basic Replication Request,NM NM N,NM N N,NM NM N,NM N N,{'elasticsearch.srcml.xml_identifiers'},Java
BasketPayoff,Basket Payoff,NM N,N N,NM N,N N,{'QuantLib.srcml.xml_identifiers'},C++
BinaryRule,Binary Rule,NM N,NM N,NM N,NM N,{'corenlp.srcml.xml_identifiers'},Java
btCollisionShape,bt Collision Shape,PRE NM N,N N N,NM NM N,P N NM,{'bullet3.srcml.xml_identifiers'},C++
class btDeformableContactConstraint,bt Deformable Contact Constraint,PRE NM NM N,N NM N N,NM NM NM N,P NM N N,{'bullet3.srcml.xml_identifiers'},C++
btMaterial,bt Material,PRE N,N N,NM N,P N,{'bullet3.srcml.xml_identifiers'},C++
BucketCollector,Bucket Collector,NM N,N N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
BuildWrapper,Build Wrapper,NM N,N N,NM N,V N,{'jenkins.srcml.xml_identifiers'},Java
CAnimatedMeshSceneNode ,C Animated Mesh Scene Node,PRE NM NM NM N,NM NM N N N,NM NM NM NM N,N N N N N,{'irrlicht.srcml.xml_identifiers'},C++
CArchiveLoaderTAR ,C Archive Loader TAR,PRE NM N NM,NM N N N,NM NM NM N,N N N N,{'irrlicht.srcml.xml_identifiers'},C++
CAtBackgroundColor,C At Background Color,PRE NM NM N,POSSEFAILURE,NM NM NM N,N P N N,{'openFrameworks.srcml.xml_identifiers'},C++
CAtFont,C At Font,PRE NM N,POSSEFAILURE,NM NM N,N P N,{'openFrameworks.srcml.xml_identifiers'},C++
CAtGrayScale,C At Grayscale,PRE NM N,POSSEFAILURE,NM NM N,N P N,{'openFrameworks.srcml.xml_identifiers'},C++
CBurningShader_Raster_Reference,C Burning Shader Raster Reference,PRE NM NM NM N,NM NM N N N,NM NM NM NM N,N N N N N,{'irrlicht.srcml.xml_identifiers'},C++
CD3D9RenderTarget,C D3D9 Render Target,PRE NM NM N,NM N N N,NM NM NM NM NM NM N,N N N N,{'irrlicht.srcml.xml_identifiers'},C++
CFileReadCallBack,C File Read Callback,PRE NM NM N,NM N N N,NM NM NM N,N N N N,{'irrlicht.srcml.xml_identifiers'},C++
Chttp2Connector,C http2 Connector,PRE NM N,NM N N,NM NM NM N,N N N,{'grpc.srcml.xml_identifiers'},C++
CImage,C Image,PRE N,NM N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C++
CImageWriterJPG,C Image Writer JPG,PRE NM N NM,NM N N N,NM NM NM N,N N N N,{'irrlicht.srcml.xml_identifiers'},C++
CSkinnedMesh,C Skinned Mesh,PRE NM N,NM NM N,NM NM N,N N N,{'irrlicht.srcml.xml_identifiers'},C++
CacheStrategy,Cache Strategy,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
CachedRegionTracker,Cached Region Tracker,NM NM N,N N N,NM NM N,N N N,{'Telegram.srcml.xml_identifiers'},Java
CallErrorExtensions,Call Error Extensions,NM NM NPL,N N N,NM NM N,V N NPL,{'grpc.srcml.xml_identifiers'},C#
CameraData,Camera Data,NM N,N N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C++
CapletVarianceCurve,Caplet Variance Curve,NM NM N,N N N,NM NM N,N N N,{'QuantLib.srcml.xml_identifiers'},C++
CategoryFilterFactory,Category Filter Factory,NM NM N,N N N,NM NM N,N N N,{'junit4.srcml.xml_identifiers'},Java
CborXContent,Cbor X Content,NM NM N,N NM N,NM NM N,N N N,{'elasticsearch.srcml.xml_identifiers'},Java
ChangeScroll,Change Scroll,V N,N N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
ChapterTocFrame,Chapter Toc Frame,NM NM N,N N N,NM NM N,N N N,{'Telegram.srcml.xml_identifiers'},Java
ChildLocation,Child Location,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers.idents'},C
ChineseTreebankParserParams,Chinese Treebank Parser Params,NM NM NM NPL,NM N N N,NM NM NM N,N N N N,{'corenlp.srcml.xml_identifiers'},Java
CipherSuite,Cipher Suite,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
ClassLoaders,Class Loaders,NM NPL,N N,NM N,N N,{'mockito.srcml.xml_identifiers'},Java
ClauseMatrix,Clause Matrix,NM N,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C++
Clock,Clock,N,N,N,N,{'openFrameworks.srcml.xml_identifiers'},C++
ClusterUpdateSettingsResponse,Cluster Update Settings Response,NM NM NM N,N N N N,NM NM NM N,N N N N,{'elasticsearch.srcml.xml_identifiers'},Java
CmdOutputOperationType,Cmd Output Operation Type,NM NM NM N,N N N N,NM NM NM N,N N N N,{'ogre.srcml.xml_identifiers'},C++
CodeGeneratorPrivate,Code Generator Private,NM N NM,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
ColorMap ,Color Map,NM N,NM N,NM N,N N,{'opencv.srcml.xml_identifiers'},C++
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,POSSEFAILURE,NM NM NM NM NM NM NM NM NM N,V N N P N N P V N N,{'gimp.srcml.xml_identifiers.idents'},C++
Command_t,Command t,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers.idents'},C
CompMask,Comp Mask,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers.idents'},C++
CompilerItem,Compiler Item,NM N,N N,NM N,N N,{'kdevelop.srcml.xml_identifiers'},C++
ConfigureTimeouts,Configure Timeouts,NM NPL,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
ConstParameterFloat,Const Parameter Float,NM NM N,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C++
ContainerTabBar,Container Tab Bar,NM NM N,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
ContentPath,Content Path,NM N,NM N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
ContextTokenListIndexedGetterDecl,Context Token List Indexed Getter Decl,NM NM NM NM NM N,N NM N N N N,NM NM NM NM NM N,N NM N NM N N,{'antlr4.srcml.xml_identifiers'},Java
ContextualizeClosures,Contextualize Closures,V NPL,N N,NM N,N NPL,{'swift.srcml.xml_identifiers'},C++
ControlledObject,Controlled Object,NM N,NM N,NM N,NM N,{'blender.srcml.xml_identifiers'},C++
ControllerValue,Controller Value,NM N,N N,NM N,N N,{'ogre.srcml.xml_identifiers'},C++
CppGeneratorServices,Cpp Generator Services,NM NM NPL,N N N,NM NM N,N N NPL,{'grpc.srcml.xml_identifiers'},C#
CqEventQueue,Cq Event Queue,NM NM N,N N N,NM NM N,N N N,{'grpc.srcml.xml_identifiers'},C++
CRFNonLinearLogConditionalObjectiveFunction,CRF Non Linear Log Conditional Objective Function,NM NM NM NM NM NM N,POSSEFAILURE,NM NM NM NM NM NM N,N N N N N N N,{'corenlp.srcml.xml_identifiers'},Java
DBusProxy,D Bus Proxy,NM NM N,NM N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
DobjPoints,D obj Points,NM NM NPL,NM N N,NM NM N,N N NPL,{'gimp.srcml.xml_identifiers.idents'},C
D3D11UnsupportedGpuProgram,D3D11 Unsupported Gpu Program,NM NM NM N,N NM N N,NM NM NM NM NM NM N,N N N N,{'ogre.srcml.xml_identifiers'},C++
DataAccessRepositoryPrivate,Data Access Repository Private,NM NM N NM,N N N N,NM NM NM N,N N N N,{'kdevelop.srcml.xml_identifiers'},C++
DeclarationContextPrivate,Declaration Context Private,NM N NM,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
DeclarationItem,Declaration Item,NM N,N N,NM N,N N,{'kdevelop.srcml.xml_identifiers'},C++
DefaultInjectionEngine,Default Injection Engine,NM NM N,N N N,NM NM N,N N N,{'mockito.srcml.xml_identifiers'},Java
DefaultMockingDetails,Default Mocking Details,NM NM NPL,N NM N,NM NM N,N N N,{'mockito.srcml.xml_identifiers'},Java
DefaultSslRootsOverride,Default Ssl Roots Override,NM NM NPL NM,N N N N,NM NM NM N,N N N N,{'grpc.srcml.xml_identifiers'},C#
Define,Define,N,V,N,V,{'calligra.srcml.xml_identifiers'},C++
DeserializationContext,Deserialization Context,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C#
DeviceHandler,Device Handler,NM N,N N,NM N,N N,{'opencv.srcml.xml_identifiers'},C++
DialogElements,Dialog Elements,NM NPL,N N,NM N,NM NPL,{'gimp.srcml.xml_identifiers.idents'},C
DiskLruCache,Disk Lru Cache,NM NM N,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
DispatchMaskBufferIterator,Dispatch Mask Buffer Iterator,NM NM NM N,N N N N,NM NM NM N,N N N N,{'gimp.srcml.xml_identifiers.idents'},C++
DispatchPaintMask,Dispatch Paint Mask,NM NM N,N N N,NM NM N,N N N,{'gimp.srcml.xml_identifiers.idents'},C++
DOTGenerator,DOT Generator,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
DualConInputReader,Dual Con Input Reader,NM NM NM N,NM N N N,NM NM NM N,NM N N N,{'blender.srcml.xml_identifiers'},C++
DvbSubtitleReader,Dvb Subtitle Reader,NM NM N,N N N,NM NM N,N N N,{'Telegram.srcml.xml_identifiers'},Java
DynamicTexturedCubeDemo,Dynamic Textured Cube Demo,NM NM NM N,NM NM N N,NM NM NM N,N N N N,{'bullet3.srcml.xml_identifiers'},C++
EnvVarsSlaveInfo_DisplayName,Env Vars Slave Info Display Name,NM NM NM NM NM N,N N N N N N,NM NM NM NM NM N,N N N N V N,{'jenkins.srcml.xml_identifiers'},Java
Executor,Executor,N,N,N,N,{'jenkins.srcml.xml_identifiers'},Java
ExpectedException,Expected Exception,NM N,NM N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
ExplicitEulerScheme,Explicit Euler Scheme,NM NM N,NM N N,NM NM N,N N N,{'QuantLib.srcml.xml_identifiers'},C++
ExpressionFinder,Expression Finder,NM N,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C++
FdBlackScholesVanillaEngine,Fd Black Scholes Vanilla Engine,NM NM NM NM N,N NM N NM N,NM NM NM NM N,N N N N N,{'QuantLib.srcml.xml_identifiers'},C++
FileItemDelegate,File Item Delegate,NM NM N,N N N,NM NM N,V N N,{'calligra.srcml.xml_identifiers'},C++
FileOperator,File Operator,NM N,N N,NM N,V N,{'okhttp.srcml.xml_identifiers'},Java
FilePathFilter,File Path Filter,NM NM N,N N N,NM NM N,V N N,{'jenkins.srcml.xml_identifiers'},Java
FileSystemArchive,File System Archive,NM NM N,N N N,NM NM N,V N N,{'ogre.srcml.xml_identifiers'},C++
FixedObject,Fixed Object,NM N,NM N,NM N,N N,{'blender.srcml.xml_identifiers'},C++
FormattedText,Formatted Text,NM N,N N,NM N,NM V,{'mockito.srcml.xml_identifiers'},Java
Frame2,Frame 2,N D,N N,NM N,N D,{'blender.srcml.xml_identifiers'},C++
GenericEmissiveClosure,Generic Emissive Closure,NM NM N,NM N N,NM NM N,NM NM N,{'blender.srcml.xml_identifiers'},C++
GenericTypeExtractor,Generic Type Extractor,NM NM N,NM N N,NM NM N,NM N N,{'mockito.srcml.xml_identifiers'},Java
GeometryInterface,Geometry Interface,NM N,N N,NM N,N N,{'bullet3.srcml.xml_identifiers'},C++
GetHomeDirectory,Get Home Directory,V NM N,N NM N,NM NM N,V N N,{'jenkins.srcml.xml_identifiers'},Java
GetTotalDiskSpace,Get Total Disk Space,V NM NM N,N NM N N,NM NM NM N,V NM N N,{'jenkins.srcml.xml_identifiers'},Java
GLConfigAttribs,GL Config Attribs,PRE NM NPL,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C++
GlobalsAsMembersTableReaderInfo,Globals As Members Table Reader Info,NPL P NPL NM NM N,POSSEFAILURE,NM NM NM NM NM N,NPL P N N N N,{'swift.srcml.xml_identifiers'},C++
GLXConfigurator,GLX Configurator,NM N,N N,NM N,N N,{'ogre.srcml.xml_identifiers'},C++
GroupByContext,Group By Context,N P N,V P N,NM NM N,N P N,{'elasticsearch.srcml.xml_identifiers'},Java
Hpack,H pack,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
HandshakeMode,Handshake Mode,NM N,N N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
HDRListener,HDR Listener,NM N,N N,NM N,N N,{'ogre.srcml.xml_identifiers'},C++
HeatVisionListener,Heat Vision Listener,NM NM N,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C++
Http1ExchangeCodec,Http1 Exchange Codec,NM NM N,N N N,NM NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
IReadFile,I Read File,NM NM N,NM N N,NM NM N,PR N N,{'irrlicht.srcml.xml_identifiers'},C++
IcyDecoder,Icy Decoder,NM N,NM N,NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
ImageManager,Image Manager,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C++
InstallUncaughtExceptionHandler,Install Uncaught Exception Handler,V NM NM N,N N N N,NM NM NM N,N N N N,{'jenkins.srcml.xml_identifiers'},Java
Internal,Internal,NM,NM,N,N,{'okhttp.srcml.xml_identifiers'},Java
InternalFFMpegRegister,Internal FFMpeg Register,NM NM N,NM N N,NM NM NM N,N N N,{'opencv.srcml.xml_identifiers'},C++
InverseDynamicsExample,Inverse Dynamics Example,NM NM N,NM N N,NM NM N,N N N,{'bullet3.srcml.xml_identifiers'},C++
JFlexDummyLexer,JFlex Dummy Lexer,PRE NM N,N NM N,NM NM N,N N N,{'corenlp.srcml.xml_identifiers'},Java
JntArrayAcc,Jnt Array Acc,NM NM N,N N N,NM NM N,N N N,{'blender.srcml.xml_identifiers'},C++
KeyStatus,Key Status,NM N,NM N,NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
KoMainWindowPrivate,Ko Main Window Private,PRE NM N NM,N NM N N,NM NM NM N,N N N N,{'calligra.srcml.xml_identifiers'},C++
KoPathPointRemoveCommandPrivate,Ko Path Point Remove Command Private,PRE NM NM NM N NM,N N N N N N,NM NM NM NM NM N,N N N V N N,{'calligra.srcml.xml_identifiers'},C++
KoRgbU8InvertColorTransformation,Ko Rgb U8 Invert Color Transformation,PRE NM NM NM NM N,N N N N NM N,NM NM NM NM NM NM N,N N N N N N,{'calligra.srcml.xml_identifiers'},C++
